-11.529,-11.413,-28.337,20,0.1,5
-12.764,-11.439,-27.355,20,1.1,5
-14,-11.372,-25.15,20,2.1,5
-15.235,-11.221,-22.946,20,3.1,5
-16.47,-11,-21.045,20,4.1,5
-17.704,-10.723,-19.44,20,5.1,5
-18.935,-10.406,-18.072,20,6.1,5
-20.165,-10.061,-16.891,20,7.1,5
-12.348,-12.23,-28.643,22,0.1,5
-13.6,-12.246,-27.577,22,1.1,5
-14.852,-12.149,-25.273,22,2.1,5
-16.104,-11.955,-23.015,22,3.1,5
-17.355,-11.681,-21.088,22,4.1,5
-18.605,-11.348,-19.469,22,5.1,5
-19.853,-10.973,-18.094,22,6.1,5
-21.097,-10.573,-16.909,22,7.1,5
-13.144,-13.025,-28.936,24,0.1,5
-14.415,-13.027,-27.787,24,1.1,5
-15.686,-12.897,-25.386,24,2.1,5
-16.956,-12.654,-23.078,24,3.1,5
-18.225,-12.322,-21.127,24,4.1,5
-19.493,-11.927,-19.496,24,5.1,5
-20.758,-11.493,-18.115,24,6.1,5
-22.019,-11.037,-16.927,24,7.1,5
-13.917,-13.796,-29.218,26,0.1,5
-15.209,-13.784,-27.985,26,1.1,5
-16.501,-13.615,-25.492,26,2.1,5
-17.792,-13.316,-23.137,26,3.1,5
-19.082,-12.921,-21.164,26,4.1,5
-20.37,-12.462,-19.522,26,5.1,5
-21.654,-11.966,-18.136,26,6.1,5
-22.934,-11.455,-16.944,26,7.1,5
-14.67,-14.546,-29.488,28,0.1,5
-15.985,-14.517,-28.172,28,1.1,5
-17.3,-14.304,-25.589,28,2.1,5
-18.614,-13.945,-23.191,28,3.1,5
-19.926,-13.481,-21.199,28,4.1,5
-21.236,-12.954,-19.547,28,5.1,5
-22.543,-12.396,-18.156,28,6.1,5
-23.842,-11.829,-16.961,28,7.1,5
-15.404,-15.278,-29.748,30,0.1,5
-16.745,-15.229,-28.349,30,1.1,5
-18.085,-14.966,-25.68,30,2.1,5
-19.424,-14.539,-23.242,30,3.1,5
-20.762,-14.002,-21.231,30,4.1,5
-22.097,-13.406,-19.571,30,5.1,5
-23.426,-12.785,-18.175,30,6.1,5
-24.748,-12.165,-16.979,30,7.1,5
-16.121,-15.992,-29.999,32,0.1,5
-17.491,-15.92,-28.517,32,1.1,5
-18.859,-15.602,-25.766,32,2.1,5
-20.227,-15.101,-23.29,32,3.1,5
-21.592,-14.487,-21.263,32,4.1,5
-22.954,-13.819,-19.595,32,5.1,5
-24.309,-13.137,-18.195,32,6.1,5
-25.654,-12.466,-16.997,32,7.1,5
-16.825,-16.693,-30.243,34,0.1,5
-18.226,-16.595,-28.678,34,1.1,5
-19.626,-16.213,-25.847,34,2.1,5
-21.024,-15.631,-23.335,34,3.1,5
-22.42,-14.937,-21.293,34,4.1,5
-23.811,-14.198,-19.618,34,5.1,5
-25.195,-13.456,-18.215,34,6.1,5
-26.566,-12.736,-17.015,34,7.1,5
-17.518,-17.382,-30.482,36,0.1,5
-18.953,-17.254,-28.833,36,1.1,5
-20.387,-16.801,-25.924,36,2.1,5
-21.82,-16.133,-23.379,36,3.1,5
-23.25,-15.355,-21.322,36,4.1,5
-24.674,-14.544,-19.641,36,5.1,5
-26.088,-13.744,-18.235,36,6.1,5
-27.486,-12.979,-17.035,36,7.1,5
-18.202,-18.063,-30.719,38,0.1,5
-19.676,-17.9,-28.984,38,1.1,5
-21.148,-17.368,-25.999,38,2.1,5
-22.618,-16.607,-23.421,38,3.1,5
-24.085,-15.743,-21.351,38,4.1,5
-25.544,-14.86,-19.664,38,5.1,5
-26.992,-14.005,-18.256,38,6.1,5
-28.418,-13.197,-17.055,38,7.1,5
-18.881,-18.737,-30.956,40,0.1,5
-20.397,-18.534,-29.133,40,1.1,5
-21.911,-17.914,-26.071,40,2.1,5
